measured_attribute,username,session_size,curve_id
True,Andre,10,Curve0
True,Andre,10,Curve1
True,Andre,10,Curve2
True,Andre,10,Curve3
True,Andre,10,Curve4
True,Andre,10,Curve0
True,Andre,10,Curve1
True,Andre,10,Curve2
True,Andre,10,Curve3
True,Andre,10,Curve4
True,Andre,10,Curve5
False,Andre,10,Curve6
True,Andre,10,Curve7
True,Andre,10,Curve8
True,Andre,10,Curve9
True,Andre,10,Curve0
False,Andre,10,Curve1
True,Andre,10,Curve2
True,Andre,10,Curve3
True,Andre,10,Curve4
True,Andre,10,Curve0
False,Andre,10,Curve1
True,Andre,10,Curve2
True,Andre,10,Curve3
True,Andre,10,Curve4
True,Andre,10,Curve5
True,Andre,10,Curve6
True,Andre,10,Curve7
True,Andre,10,Curve8
False,Andre,10,Curve9
False,Andre,10,TL-121719022
True,Andre,10,TL-121719023
False,Andre,10,TL-121719024
True,Andre,10,TL-121719025
True,Andre,10,TL-121719026
False,Andre,10,TL-121719022
True,Andre,10,TL-121719023
False,Andre,10,TL-121719024
True,Andre,10,TL-121719025
True,Andre,10,TL-121719026
False,Andre,10,TL-121719027
True,Andre,10,TL-121719028
False,Andre,10,TL-121719029
True,Andre,10,TL-121719030
False,Andre,10,TL-121719031
True,Andre,15,TL-121719022
True,Andre,15,TL-121719023
True,Andre,15,TL-121719024
True,Andre,15,TL-121719025
True,Andre,15,TL-121719026
True,Andre,15,TL-121719022
True,Andre,15,TL-121719023
True,Andre,15,TL-121719024
True,Andre,15,TL-121719025
True,Andre,15,TL-121719026
True,Andre,15,TL-121719027
True,Andre,15,TL-121719028
True,Andre,15,TL-121719029
True,Andre,15,TL-121719030
True,Andre,15,TL-121719031
True,Andre,15,TL-121719022
True,Andre,15,TL-121719023
True,Andre,15,TL-121719024
True,Andre,15,TL-121719025
True,Andre,15,TL-121719026
True,Andre,15,TL-121719027
True,Andre,15,TL-121719028
True,Andre,15,TL-121719029
True,Andre,15,TL-121719030
True,Andre,15,TL-121719031
True,Andre,15,TL-121719032
True,Andre,15,TL-121719033
True,Andre,15,TL-121719034
True,Andre,15,TL-121719035
True,Andre,15,TL-121719036
True,Andre,15,TL-121719022
False,Andre,15,TL-121719023
True,Andre,15,TL-121719024
True,Andre,15,TL-121719025
True,Andre,15,TL-121719026
True,Andre,15,TL-121719022
False,Andre,15,TL-121719023
True,Andre,15,TL-121719024
True,Andre,15,TL-121719025
True,Andre,15,TL-121719026
False,Andre,15,TL-121719027
False,Andre,15,TL-121719028
False,Andre,15,TL-121719029
False,Andre,15,TL-121719030
False,Andre,15,TL-121719031
True,Andre,15,TL-121719022
False,Andre,15,TL-121719023
True,Andre,15,TL-121719024
True,Andre,15,TL-121719025
True,Andre,15,TL-121719026
False,Andre,15,TL-121719027
False,Andre,15,TL-121719028
False,Andre,15,TL-121719029
False,Andre,15,TL-121719030
False,Andre,15,TL-121719031
False,Andre,15,TL-121719032
False,Andre,15,TL-121719033
False,Andre,15,TL-121719034
False,Andre,15,TL-121719035
False,Andre,15,TL-121719036
True,Andre,15,TL-121719022
False,Andre,15,TL-121719023
False,Andre,15,TL-121719024
False,Andre,15,TL-121719025
False,Andre,15,TL-121719026
True,andre,5,TL-121719022
False,andre,5,TL-121719023
True,andre,5,TL-121719024
True,andre,5,TL-121719025
True,andre,5,TL-121719026
True,Andreee,12,TL-121719022
False,Andreee,12,TL-121719023
True,Andreee,12,TL-121719024
True,Andreee,12,TL-121719025
False,Andreee,12,TL-121719026
True,andre,10,TL-121719022
False,andre,10,TL-121719023
True,andre,10,TL-121719024
False,andre,10,TL-121719025
True,andre,10,TL-121719026
True,andre,10,TL-121719022
False,andre,10,TL-121719023
True,andre,10,TL-121719024
False,andre,10,TL-121719025
True,andre,10,TL-121719026
True,andre,10,TL-121719027
True,andre,10,TL-121719028
False,andre,10,TL-121719029
True,andre,10,TL-121719030
True,andre,10,TL-121719031
True,andi,15,TL-121719022
False,andi,15,TL-121719023
False,andi,15,TL-121719024
True,andi,15,TL-121719025
False,andi,15,TL-121719026
True,Andre,10,TL-072224314
True,Andre,10,TL-072224314
True,Andre,10,TL-091857781
True,Andre,10,TL-072224314
True,Andre,10,TL-091857781
True,Andre,10,TL-091843755
True,Andre,10,TL-072224314
True,Andre,10,TL-091857781
True,Andre,10,TL-091843755
True,Andre,10,TL-10182407
True,Andre,10,TL-072224314
True,Andre,10,TL-091857781
True,Andre,10,TL-091843755
True,Andre,10,TL-10182407
True,Andre,10,TL-051959397
True,Andre,10,TL-072224314
True,Andre,10,TL-091857781
True,Andre,10,TL-091843755
True,Andre,10,TL-10182407
True,Andre,10,TL-051959397
True,Andre,10,TL-072239153
True,Andre,10,TL-072224314
True,Andre,10,TL-091857781
True,Andre,10,TL-091843755
True,Andre,10,TL-10182407
True,Andre,10,TL-051959397
True,Andre,10,TL-072239153
True,Andre,10,TL-072239131
True,Andre,10,TL-072224314
True,Andre,10,TL-091857781
True,Andre,10,TL-091843755
True,Andre,10,TL-10182407
True,Andre,10,TL-051959397
True,Andre,10,TL-072239153
True,Andre,10,TL-072239131
True,Andre,10,TL-051930074
True,Andre,10,TL-072224314
True,Andre,10,TL-091857781
True,Andre,10,TL-091843755
True,Andre,10,TL-10182407
True,Andre,10,TL-051959397
True,Andre,10,TL-072239153
True,Andre,10,TL-072239131
True,Andre,10,TL-051930074
True,Andre,10,TL-091857775
False,Andre,15,TL-121823532
False,Andre,15,TL-072229795
False,Andre,15,TL-072229795
True,Andre,15,TL-072224318
False,Andre,15,TL-072229795
True,Andre,15,TL-072224318
True,Andre,15,TL-10181320
False,Andre,15,TL-072229795
True,Andre,15,TL-072224318
True,Andre,15,TL-10181320
False,Andre,15,TL-072229840
False,Andre,15,TL-072229795
True,Andre,15,TL-072224318
True,Andre,15,TL-10181320
False,Andre,15,TL-072229840
True,Andre,15,TL-072222214
False,Andre,15,TL-072229795
True,Andre,15,TL-072224318
True,Andre,15,TL-10181320
False,Andre,15,TL-072229840
True,Andre,15,TL-072222214
True,Andre,15,TL-072224270
False,Andre,15,TL-072229795
True,Andre,15,TL-072224318
True,Andre,15,TL-10181320
False,Andre,15,TL-072229840
True,Andre,15,TL-072222214
True,Andre,15,TL-072224270
True,Andre,15,TL-091843745
False,Andre,15,TL-072229795
True,Andre,15,TL-072224318
True,Andre,15,TL-10181320
False,Andre,15,TL-072229840
True,Andre,15,TL-072222214
